title,original_title,summary,url_thumbnail
La Fiancée du pirate,La Fiancée du pirate,"Fille d'une bohémienne, Marie vit avec sa mère dans une cabane isolée dans la forêt, à proximité du village de Tellier. Les deux femmes subsistent misérablement grâce à de menus tr",https://fr.web.img4.acsta.net/c_310_420/pictures/23/12/07/09/15/0516257.jpg
"Elle boit pas, elle fume pas, elle drague pas, mais... elle cause !","Elle boit pas, elle fume pas, elle drague pas, mais... elle cause !","Germaine est femme de ménage. Elle a trois clients, qui ont chacun des secrets : Liéthard, banquier, pique dans la caisse pour se payer les services d'une prostituée , Francine, pr",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/07/24/19683985.jpg
Erotissimo,Erotissimo,"La riche épouse d'un PDG apprend dans un magazine que la femme moderne doit être ""érotique"". Elle décide donc de devenir comme toutes ces filles que l'on voit sur les affiches. Son",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/77/60/27/19414997.jpg
100 dollars pour un shérif,True Grit,"Pour venger la mort de son père, une jeune femme qui a tout d'un garçon manqué, est prête à tout. Elle fait appel à Rooster Cogburn, un marshal borgne qui n'a peur de rien, et à un",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/64/18/16/18758159.jpg
L'Etau,Topaz,"Boris Kusenov décide de passer à l'Ouest, avec sa femme et sa fille. Son évasion est organisée et en échange de cette liberté il informe les Américains sur un trafic d'armes Russes",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/65/19/79/18835943.jpg
Mon Oncle Benjamin,Mon Oncle Benjamin,"Dans la France d'avant la Révolution française, Benjamin Rathery est médecin de campagne doublé d'un bon vivant. Volontiers frondeur, il s'attaque aux noblions, frôle les galères e",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/73/25/35/19196180.jpg
A Swedish Love Story,En Kärlekshistoria,"En marge du monde des adultes prisonniers de leurs conventions et de leur mélancolie, Pär et Annica, avec l'ingénuité et la fraîcheur de leurs 15 ans, découvrent simplement l'envie",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/66/13/80/19202631.jpg
Sabata,"Ehi amico... c'è Sabata, hai chiuso!","Sabata, chasseur de prime, arrive à Daugherty, petite ville du Texas. Alors qu'il se désaltère au saloon, il apprend que 60 000 dollars viennent d'etre dérobé à la banque. Une prim",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/71/53/10/19137275.jpg
L'Arrangement,The Arrangement,"Eddie Anderson a apparamment tout pour être heureux : publiciste talentueux, marié à une femme belle et intelligente, Florence, leur aisance matérielle leur garantit une vie sans p",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/07/91/affiche.jpg
La Bataille d'Angleterre,Battle of Britain,"Mai-juin 1940. Confrontées au rouleau compresseur des armées allemandes qui déferlent sur la France, les forces britanniques se replient sur l’autre rive de la Manche. Si la Royal ",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/65/95/28/19639152.jpg
Prends l'oseille et tire-toi,Take the Money and Run,"Tout le monde a honte de Virgil, même Virgil. Et surtout ses parents qui, pour parler de lui devant les caméras de télévision, ont revêtu des masques de Groucho Marx. Escroc minabl",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/71/01/33/19134202.jpg
Tintin et le Temple du soleil,Tintin et le Temple du soleil,"En glissant le bracelet de la momie Rascar Capac autour de son poignet, le professeur Tournesol commet un sacrilège. Il est alors kidnappé et emmené en Amérique du Sud.",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/66/22/18/18919915.jpg
Sous le signe du taureau,Sous le signe du taureau,L'industriel Albert Raynal est lâché par ses financiers alors que son missile SR01 vient d'exploser en vol lors de son premier essai. Même sa femme l'informe de son intention de di,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/72/02/56/19151377.jpg
Cérémonie secrète,Secret Ceremony,"Léonora, une prostituée, se rend sur la tombe de sa fille. Elle est suivie par une étrange jeune fille, Cenci, qui l'entraîne dans sa somptueuse demeure et lui affirme qu'elle, Léo",https://fr.web.img4.acsta.net/c_310_420/pictures/19/04/01/16/12/5965039.jpg
Le Pont de Remagen,The Bridge of Remagen,"En 1945, le pont Ludendorff à Remagen demeure le dernier ouvrage d'art intact sur le Rhin. Les Américains projettent de s'en emparer, car il n'y a d'autre voie pour pénétrer en ter",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/36/15/17/19209045.jpg
La Kermesse de l'Ouest,Paint Your Wagon,"En Californie, durant la ruée vers l'or, Ben Rumson, un pionnier alcoolique et bagarreur, s'associe avec une jeune fermier sobre et romantique. A la recherche d'un filon d'or, les ",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/15/30/20308767.jpg
La Bête aveugle,Môjû,Un sculpteur aveugle enlève et séquestre dans son atelier un modèle pour la soumettre à l'empire des sens afin qu'elle devienne une statue idéale. Comprenant après plusieurs vaines,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/76/42/04/19287474.jpg
La voie lactée,La voie lactée,"Six mystères ou dogmes du catholicisme sont illustrés à travers deux vagabonds, Pierre et Jean, qui pour se faire un peu d'argent se rendent à Saint-Jacques-de-Compostelle.",https://fr.web.img6.acsta.net/c_310_420/pictures/17/07/19/15/43/372537.jpg
Queimada,Queimada,"Au début du XIXe siècle, Sir William Walker débarque à Queimada, une île des Antilles. Officiellement, il est là pour son plaisir. En réalité, il a été envoyé par le gouvernement b",https://fr.web.img4.acsta.net/c_310_420/pictures/21/09/16/11/24/2360570.jpg
Une Femme douce,Une Femme douce,"Un homme retrouve le corps sans vie de sa femme, elle vient de mettre fin à ses jours. Sous le choc, il reste alors auprès d'elle et se remémore leur vie ensemble, depuis le moment",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/79/15/35/19491504.jpg
Solo,Solo,"Violoniste mais aussi trafiquant de bijoux, Vincent Cabral découvre, à l’occasion d’un raid meurtrier mené par un groupuscule d’extrême-gauche, que son jeune frère, Virgile, en est",https://fr.web.img5.acsta.net/c_310_420/pictures/22/04/12/15/57/3184732.jpg
Il était une fois dans l'Ouest,Once Upon a Time in the West,"Alors qu'il prépare une fête pour sa femme, Bet McBain est tué avec ses trois enfants. Jill McBain hérite des terres de son mari, convoitées par Morton, le commanditaire du crime, ",https://fr.web.img5.acsta.net/c_310_420/img/09/bb/09bbdc53475ebb6c3f5fc2c9c58d341b.jpg
La bataille pour Anzio,Anzio,"En 1944, trente-cinq mille soldat des forces alliées débarquent à Anzio pour marcher sur Rome. Leur but: arrêter l'armée allemande menée par le Général Kesselring. Le caporal Dick ",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/65/05/71/19203079.jpg
2001 : l'odyssée de l'espace,2001: A Space Odyssey,"A l'aube de l'Humanité, dans le désert africain, une tribu de primates subit les assauts répétés d'une bande rivale, qui lui dispute un point d'eau. La découverte d'un monolithe no",https://fr.web.img6.acsta.net/c_310_420/pictures/18/05/04/14/53/4306860.jpg
Le Cerveau,Le Cerveau,"De Paris à Bruxelles, un train spécial va transporter les fonds secrets des nations de l'O.T.A.N. Des deux côtés de la Manche, deux individus cherchent à s'en emparer. Côté françai",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/65/24/96/18868000.jpg
Rosemary's Baby,Rosemary's Baby,"Malgré les conseils de leur vieil ami Hutch, Guy Woodhouse et sa jeune femme, enceinte, s'installent dans un immeuble new-yorkais vétuste, considéré par leur ami comme une demeure ",https://fr.web.img6.acsta.net/c_310_420/pictures/14/09/09/10/21/189739.jpg
La Planète des singes,Planet of the Apes,"Egaré dans l'espace-temps, un engin spatial américain s'écrase en 3978 sur une planète inconnue. Les astronautes Taylor, Landon et Dodge découvrent que les hommes primitifs de cett",https://fr.web.img6.acsta.net/c_310_420/pictures/16/03/24/14/52/145009.jpg
Pendez-les haut et court,Hang'em high,"Accusé à tort de vol de bétail et de meurtre, Jed Cooper est victime d’un lynchage perpétré par plusieurs des habitants de Red Creek. Sauvé in extrémis par le marshal Dave Bliss, i",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/64/88/73/19131284.jpg
The Party,The Party,"Hrundi V. Bakshi, un acteur indien, est engagé par un studio hollywoodien pour interpréter un soldat indigène dans un remake de Gunga Din. Faisant preuve d'une terrible maladresse,",https://fr.web.img5.acsta.net/c_310_420/pictures/22/05/12/14/40/4731393.jpg
La Nuit des morts-vivants,The Night of the Living Dead,"Chaque année, Barbara et Johnny vont fleurir la tombe de leur père. La route est longue, les environs du cimetière déserts. Peu enclin à prier, Johnny se souvient du temps où il ét",https://fr.web.img6.acsta.net/c_310_420/pictures/23/09/19/15/22/4845556.jpg
Le Grand Silence,Il Grande Silenzio,"Dans la province de l'Utah, aux Etats-Unis. Le froid extrême de cet hiver 1898 pousse hors-la-loi, bûcherons et paysans affamés à descendre des forêts et à piller les villages. Les",https://fr.web.img3.acsta.net/c_310_420/pictures/22/02/09/09/40/3508977.jpg
L'Affaire Thomas Crown,The Thomas Crown Affair,"Thomas Crown, un milliardaire divorcé, à la tête d’une grande banque de Boston, estime que sa vie d’homme riche ne lui procure plus aucune satisfaction. Afin de ressentir à nouveau",https://fr.web.img3.acsta.net/c_310_420/pictures/18/03/15/14/59/1555260.jpg
Bullitt,Bullitt,"Bullitt, un lieutenant de police, est chargé par un politicien ambitieux de protéger Johnny Ross, un gangster dont le témoignage est capital dans un procès où est impliqué l'homme ",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/00/54/18648571.jpg
Astérix et Cléopâtre,Astérix et Cléopâtre,"Alexandrie. Cléopatre parie avec Jules César qu'elle réussira à construire un palais en trois mois et charge son architecte, Numérobis, du travail. Celuici demande de l'aide à Asté",https://fr.web.img3.acsta.net/c_310_420/pictures/14/07/22/14/44/226475.jpg
Le Tatoué,Le Tatoué,"Félicien Mezeray, brocanteur d'art, découvre un jour un authentique Modigliani. Autant dire que la fortune est à lui. Enfin presque. Car l'oeuvre a été tatouée sur le dos d'un ex-l",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/71/00/22/19119667.jpg
Le Petit Baigneur,Le Petit Baigneur,André Castagnier est inventeur de prototypes de bateaux sur un chantier naval dirigé d'une poigne de fer par Philippe Fourchaume. Ce dernier renvoie le concepteur en apprenant le f,https://fr.web.img3.acsta.net/c_310_420/pictures/16/01/04/15/34/255312.jpg
If....,If....,Des lycéens anglais se révoltent violemment contre le système éducatif et la discipline de fer de leur établissement. Ils vont même jusqu'à tirer sur la foule le jour de la remise ,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/64/04/16/19832353.jpg
Le Pacha,Le Pacha,"Le commissaire Joss est douloureusement affecté par la mort de son collègue Gouvion, survenue au cours d'un hold-up. Pour venger son ami, il invente le coup du siècle : il met deux",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/36/10/31/18659417.jpg
Faut pas prendre les enfants du Bon Dieu pour des canards sauvages,Faut pas prendre les enfants du Bon Dieu pour des canards sauvages,"Rita a l'habitude de prendre des gangsers pour amants. Celui qui est actuellement en titre l'a grugée en ne lui donnant pas sa part dans un partage de lingots d'or. Furieuse, Rita ",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/66/54/56/19197996.jpg
Quand les aigles attaquent,Where Eagles Dare,"En 1944, des soldats alliés sont parachutés au sud de l'Allemagne menés par un officier britannique, John Smith. Non loin d'une forteresse abritant le quartier général de la Gestap",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/15/19/18869477.jpg
Le Gendarme se marie,Le Gendarme se marie,"Le Maréchal des logis-chefs Cruchot, rencontre suite à un accident Josépha, la veuve d'un colonel de gendarmerie.",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/62/89/14/18657594.jpg
Théorème,Teorema,"Un jeune homme d'une étrange beauté s'introduit dans une famille bourgeoise. Le père, la mère, le fils et la fille succombent à son charme. Son départ impromptu ébranle tous les me",https://fr.web.img6.acsta.net/c_310_420/pictures/22/05/12/12/33/3526441.jpg
Baisers volés,Baisers volés,"Antoine Doinel a vingt-quatre ans. Enfermé derrière les barreaux d’une prison militaire, il attend d’être enfin réformé. Libéré, il va dîner chez les parents de Christine Darbon, l",https://fr.web.img6.acsta.net/c_310_420/pictures/21/10/28/16/37/4294960.jpg
La Mariée était en noir,La Mariée était en noir,"Le jour de son mariage, alors qu’elle sort à peine de l’église, Julie voit son mari assassiné sous ses yeux. Personne ne sait pourquoi l’homme était la cible de cette balle. La veu",https://fr.web.img3.acsta.net/c_310_420/pictures/22/08/01/14/28/4772148.jpg
Un amour de Coccinelle,The Love bug,"Jim Douglas est un jeune coureur automobile qui n'affiche que de médiocres résultats. Un beau jour, il achète une Volkswagen Coccinelle qu'il découvre douée de raison. Cette derniè",https://fr.web.img3.acsta.net/c_310_420/pictures/210/334/21033487_20130830181753486.jpg
L'Etrangleur de Boston,The Boston Strangler,"Boston, 1962. Une vieille femme est retrouvée étranglée à son domicile. Les mobiles du crime sont inexplicables. Au cours des deux années suivantes, douze autres femmes sont assass",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/69/54/84/19067219.jpg
Le Plongeon,The Swimmer,"Dans un quartier huppé du Connecticut où il a passé ses vacances d'été, Ned Merrill se met en tête de rentrer chez lui à la nage, en empruntant chaque piscine se trouvant sur son c",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/78/88/41/19532704.jpg
Roméo et Juliette,Giulietta e Romeo,"Les jeunes Romeo et Juliette tombent dès leur première rencontre fou amoureux l'un de l'autre. Mais ils sont tous deux les enfants de deux familles rivales, les Montaigu et les Cap",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/35/05/45/affiche.jpg
Le Lion en hiver,The Lion in Winter,"Intrigues et meurtres autour de la succession d'Henry II, roi d'Angleterre au XIIè siècle, et qui réunit sa femme Eléonore d'Aquitaine, exilée, ses trois fils, leur prétendante qui",https://fr.web.img2.acsta.net/c_310_420/pictures/17/02/23/11/53/599060.jpg
Un shérif à New York,Coogan's Bluff,"Coogan est un shérif aux méthodes plutôt expéditives. Histoire de sanctionner sa brutalité, ses supérieurs le chargent de récupérer un prisonnier à New York pour le ramener en Ariz",https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/66/41/70/19472422.jpg
L'Enfance nue,L'Enfance nue,"Trimballé de famille en famille, le petit François collectionne les bêtises en véritable champion des 400 coups. Son cas difficile trouve refuge chez Pépère et Mémère où il est pla",https://fr.web.img2.acsta.net/c_310_420/pictures/21/07/06/13/42/1161151.jpg
Funny Girl,Funny Girl,"Fanny Brice est engagée comme comédienne et chanteuse dans la revue Keeney's Music Hall. Elle y fait la connaissance de Nick Arnstein, un gentleman, et de l'imprésario Florenz Zieg",https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/37/77/funnygirl.jpg
Les Producteurs,The Producers,"Jadis célèbre producteur à Broadway, Max Bialystock est désormais contraint de soutirer de l’argent à de riches octogénaires libidineuses en faisant le gigolo. Un jour débarque le ",https://fr.web.img5.acsta.net/c_310_420/pictures/18/07/10/11/11/4854405.jpg
Barbarella,Barbarella,"En l'an 4000, l'astronaute Barbarella, alors en vacances, se voit confier par le président de la Terre une mission spéciale. Elle doit retrouver Durand-Durand, un savant disparu il",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/65/94/13/18898367.jpg
"Je t'aime, je t'aime","Je t'aime, je t'aime","Après une tentative de suicide, Claude Ridder se prête à une expèrience scientifique : un voyage dans le temps. Il est ainsi projeté dans son passé, et se retrouve heureux, auprès ",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/35/05/96/affiche.jpg
Cinq cartes à abattre,5 Card Stud,"En 1880, dans une petite ville du Colorado, une partie de cartes dégénère. L'un des joueurs, aperçu en train de tricher, se fait passer à tabac par le reste de la table, et meurt p",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/76/37/01/19284644.jpg
La Prisonnière,La Prisonnière,"Le soir d'un vernissage, la compagne d'un artiste découvre le penchant pervers du directeur de la galerie pour les scènes de soumission sexuelle qu'il photographie. Bientôt elle de",https://fr.web.img6.acsta.net/c_310_420/pictures/17/10/23/10/40/4272387.jpg
"Horus, prince du soleil",Taiyo no oji : Horusu no daiboken,"Dans une nature hostile où les loups attaquent toujours l'homme, Horus, un adolescent plein de vie et de courage, retire une épée de l'épaule d'un démon de pierre, plantée là comme",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/35/17/78/18369815.jpg
Vixen!,Vixen!,"Tom Palmer, pilote d'hélicoptère, délaisse sa femme, Vixen. Il fait de plus l'erreur de ramener à la maison un couple de touriste, qu'il doit enmener en voyage quelques jours plus ",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/65/75/23/19196187.jpg
Ho!,Ho!,"Ancien pilote automobile, François Holin est aujourd’hui chauffeur pour une bande de malfrats. Lorsque le chef du groupe François Canter se tue quelque jours avant un nouveau hold ",https://fr.web.img4.acsta.net/c_310_420/pictures/18/03/19/10/00/2118177.jpg
Adieu l'ami,Adieu l'ami,"Dino Barran, un médecin légionnaire, se transforme en perceur de coffres forts pour aider la femme d'un homme qu'il a tué accidentellement à remettre à leur place des documents com",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/65/84/74/19189208.jpg
Le Dernier Train du Katanga,Mercenaries - The Dark of the sun,"Au Congo belge, en pleine revolution, un commando de mercenaires est charge de recuperer un stock de diamants et de sauver quelques civils.",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/72/41/78/19163323.jpg
La Grande lessive,La Grande lessive,"Le professeur Saint-Just, homme de lettres et enseignant à Paris dans le public, s'inquiète de l'irruption de la télévision dans les foyers français : ses élèves, épuisés par les é",https://fr.web.img4.acsta.net/c_310_420/pictures/23/08/18/15/03/3968140.jpg
Faces,Faces,"Après une nuit un peu folle, Richard rentre chez lui et se dispute avec sa femme Maria. Après lui avoir annoncé son intention de divorcer, il claque la porte et part retrouver une ",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/60/06/01/20171948.jpg
Le Rapace,Le Rapace,"Le “Rital”, un mercenaire aventurier est engagé par l’avocat Calvez, éminence grise d’une bande de conjurés, pour abattre le Président d’une République d’Amérique du Sud. Il s’agit",https://fr.web.img5.acsta.net/c_310_420/pictures/21/07/09/12/58/5917363.jpg
Les Biches,Les Biches,"La mondaine Frédérique séduit la jeune Why, qu'elle invite dans sa villa de Saint-Tropez. Lorsque Frédérique tombe amoureuse de l'architecte Paul, Why devient jalouse...",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/10/78/18673193.jpg
La Bataille de San Sebastian,La Bataille de San Sebastian,"En 1750, un bandit mexicain est sauvé par un homme d'église. Ce dernier est tué par les indiens Yaquis et c'est le voleur qui endosse la robe du prêtre.",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/13/46/18455336.jpg
Les Bérets Verts,The Green Berets,"Le Colonel Mike Kirby est chargé de réunir deux équipes de soldats d'élite dits Bérets Verts (""Green Berets""), pour une mission au Sud Viêt-nam. Sur place, ils doivent tout d'abord",https://fr.web.img6.acsta.net/c_310_420/pictures/14/07/31/13/49/211004.jpg
Les Intouchables,Gli Intoccabili,"Un parrain de la mafia parvient à faire sortir de prison le gangster Hank McCain, après douze années de détention. Le fils de celui-ci le convainc alors de participer à un vol dans",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/78/03/17/19444225.jpg
Duel dans le Pacifique,Hell in the Pacific,"Pendant la Seconde Guerre Mondiale, un soldat de l'aviation américaine se crashe sur une île déserte du Pacifique et il constate qu'il n'est pas le seul à avoir trouvé refuge ici. ",https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/72/79/13/19178601.jpg
La Bande à Bonnot,La Bande à Bonnot,"Au début du XXe siècle, à Paris, une bande de malfrats terrorise la ville. Constitué d'ouvriers anarchistes haïssant la bourgeoisie, ce gang braque les banques et commet des meurtr",https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/76/36/85/19284628.jpg
"Un soir, un train","Un soir, un train","Mathias, professeur de linguistique dans l'université d'une petite ville de Flandres, entretient une liaison avec Anne. Devant dispenser un cours magistral loin de son lieu de trav",https://fr.web.img6.acsta.net/c_310_420/commons/v9/common/empty/empty_portrait.png
Le Mercenaire,Il Mercenario,"A la frontière entre le Texas et le Mexique, le cruel Alfonso Garcia exploite sans vergogne les ouvriers de sa mine d’argent. Révoltés par leurs conditions de travail, un groupe de",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/71/27/24/19129654.jpg
